Source,Target,weight
Dallas/Fort Worth International,John F. Kennedy International,1
John F. Kennedy International,Ronald Reagan Washington National,1
Cincinnati/Northern Kentucky International,Lambert-St. Louis International,24
Jacksonville International,Cincinnati/Northern Kentucky International,1
Ronald Reagan Washington National,Memphis International,1
Cincinnati/Northern Kentucky International,John F. Kennedy International,60
General Mitchell International,John F. Kennedy International,8
John F. Kennedy International,Indianapolis International,31
Detroit Metro Wayne County,Port Columbus International,8
Minneapolis-St Paul International,Port Columbus International,1
Theodore Francis Green State,Detroit Metro Wayne County,31
Cincinnati/Northern Kentucky International,Kansas City International,49
Cincinnati/Northern Kentucky International,Baltimore/Washington International Thurgood Marshall,1
Detroit Metro Wayne County,Cleveland-Hopkins International,1
John F. Kennedy International,Louisville International-Standiford Field,29
Will Rogers World,Minneapolis-St Paul International,1
Louisville International-Standiford Field,Detroit Metro Wayne County,24
Cincinnati/Northern Kentucky International,Richmond International,27
Chicago Midway International,Detroit Metro Wayne County,1
Detroit Metro Wayne County,Richmond International,28
Nashville International,John F. Kennedy International,31
Memphis International,Will Rogers World,7
Minneapolis-St Paul International,Louisville International-Standiford Field,27
Norfolk International,John F. Kennedy International,61
Port Columbus International,John F. Kennedy International,1
Memphis International,Pittsburgh International,27
John F. Kennedy International,Cleveland-Hopkins International,54
Indianapolis International,Raleigh-Durham International,1
John F. Kennedy International,Richmond International,13
Norfolk International,Logan International,1
Cincinnati/Northern Kentucky International,Nashville International,27
Dallas/Fort Worth International,Honolulu International,31
Los Angeles International,Newark Liberty International,31
Los Angeles International,Washington Dulles International,1
Orlando International,Chicago O'Hare International,1
Dallas/Fort Worth International,Los Angeles International,1
Los Angeles International,Ronald Reagan Washington National,1
Kahului Airport,Dallas/Fort Worth International,31
Dallas/Fort Worth International,Miami International,31
LaGuardia,Chicago O'Hare International,47
Dallas/Fort Worth International,Tampa International,1
Chicago O'Hare International,Phoenix Sky Harbor International,2
Dallas/Fort Worth International,Jacksonville International,34
Dallas/Fort Worth International,Southwest Florida International,27
Seattle/Tacoma International,Dallas/Fort Worth International,30
Chicago O'Hare International,McCarran International,1
Chicago O'Hare International,Austin - Bergstrom International,1
Chicago O'Hare International,Tampa International,1
Baltimore/Washington International Thurgood Marshall,Dallas/Fort Worth International,1
Denver International,Chicago O'Hare International,1
Dallas/Fort Worth International,John Wayne Airport-Orange County,28
Tucson International,Chicago O'Hare International,31
Dallas/Fort Worth International,Philadelphia International,27
San Francisco International,Chicago O'Hare International,1
Miami International,Logan International,31
Austin - Bergstrom International,Los Angeles International,1
George Bush Intercontinental/Houston,Miami International,1
Ronald Reagan Washington National,Chicago O'Hare International,30
Philadelphia International,Miami International,1
Richmond International,Dallas/Fort Worth International,1
San Francisco International,Miami International,1
Ontario International,Dallas/Fort Worth International,1
Lambert-St. Louis International,Dallas/Fort Worth International,21
Dallas/Fort Worth International,Raleigh-Durham International,31
Ronald Reagan Washington National,Miami International,29
Dallas/Fort Worth International,Portland International,56
Dallas/Fort Worth International,Bradley International,6
Dallas/Fort Worth International,Norman Y. Mineta San Jose International,25
Albuquerque International Sunport,Dallas/Fort Worth International,31
Charlotte Douglas International,Dallas/Fort Worth International,1
San Francisco International,Los Angeles International,1
Fort Lauderdale-Hollywood International,Chicago O'Hare International,31
Chicago O'Hare International,Seattle/Tacoma International,3
Kansas City International,Dallas/Fort Worth International,1
Miami International,Orlando International,1
Luis Munoz Marin International,Miami International,29
Louis Armstrong New Orleans International,Miami International,30
San Diego International,Chicago O'Hare International,47
Luis Munoz Marin International,Dallas/Fort Worth International,30
Raleigh-Durham International,Miami International,1
Dallas/Fort Worth International,Palm Beach International,31
Lambert-St. Louis International,Los Angeles International,1
Miami International,Seattle/Tacoma International,1
Fort Lauderdale-Hollywood International,Dallas/Fort Worth International,1
Lambert-St. Louis International,Miami International,31
Indianapolis International,Dallas/Fort Worth International,1
Southwest Florida International,Chicago O'Hare International,1
Norfolk International,Dallas/Fort Worth International,60
Dallas/Fort Worth International,Tucson International,116
Chicago O'Hare International,Norman Y. Mineta San Jose International,60
Miami International,Washington Dulles International,1
Tampa International,Miami International,1
Baltimore/Washington International Thurgood Marshall,Miami International,1
Phoenix Sky Harbor International,Dallas/Fort Worth International,1
Dallas/Fort Worth International,Newark Liberty International,1
Chicago O'Hare International,Palm Beach International,30
Pittsburgh International,Dallas/Fort Worth International,31
Miami International,McCarran International,1
John Wayne Airport-Orange County,Chicago O'Hare International,2
Dallas/Fort Worth International,Reno/Tahoe International,61
Miami International,Bradley International,31
Chicago O'Hare International,Reno/Tahoe International,31
Denver International,Miami International,1
Phoenix Sky Harbor International,Miami International,1
Ronald Reagan Washington National,Lambert-St. Louis International,1
John F. Kennedy International,George Bush Intercontinental/Houston,29
Chicago O'Hare International,Luis Munoz Marin International,31
Dallas/Fort Worth International,Chicago O'Hare International,1
Seattle/Tacoma International,Norman Y. Mineta San Jose International,1
Seattle/Tacoma International,San Francisco International,1
San Francisco International,Portland International,3
San Diego International,Portland International,2
Ted Stevens Anchorage International,Seattle/Tacoma International,1
Seattle/Tacoma International,Orlando International,2
Sacramento International,Seattle/Tacoma International,1
Seattle/Tacoma International,Kansas City International,1
Lambert-St. Louis International,Seattle/Tacoma International,1
George Bush Intercontinental/Houston,Seattle/Tacoma International,1
Seattle/Tacoma International,San Antonio International,1
Portland International,Phoenix Sky Harbor International,2
Seattle/Tacoma International,Phoenix Sky Harbor International,2
Seattle/Tacoma International,McCarran International,2
Portland International,John Wayne Airport-Orange County,1
Bob Hope,Seattle/Tacoma International,1
Seattle/Tacoma International,San Diego International,3
Los Angeles International,Seattle/Tacoma International,1
Los Angeles International,Portland International,1
Metropolitan Oakland International,Seattle/Tacoma International,1
Ronald Reagan Washington National,Seattle/Tacoma International,1
Kahului Airport,Sacramento International,2
Portland International,Kahului Airport,2
Austin - Bergstrom International,Seattle/Tacoma International,2
Tucson International,Seattle/Tacoma International,1
Portland International,McCarran International,3
Ontario International,Seattle/Tacoma International,1
Seattle/Tacoma International,John Wayne Airport-Orange County,1
Portland International,Ted Stevens Anchorage International,2
Fort Lauderdale-Hollywood International,Seattle/Tacoma International,1
Honolulu International,Norman Y. Mineta San Jose International,2
San Diego International,Kahului Airport,1
San Diego International,Orlando International,1
Newark Liberty International,Seattle/Tacoma International,1
Ronald Reagan Washington National,Portland International,3
Portland International,Norman Y. Mineta San Jose International,1
Seattle/Tacoma International,Philadelphia International,2
Ted Stevens Anchorage International,Chicago O'Hare International,1
Honolulu International,Ted Stevens Anchorage International,1
Portland International,Chicago O'Hare International,1
Kahului Airport,Ted Stevens Anchorage International,2
Ted Stevens Anchorage International,Los Angeles International,1
LaGuardia,Louisville International-Standiford Field,1
Memphis International,Fort Lauderdale-Hollywood International,2
